"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 14, 2012","1,004.00","1,018.97","1,022.97","1,001.90","-","-1.47%"
"Nov 13, 2012","1,018.97","1,023.27","1,029.12","1,016.79","-","-0.42%"
"Nov 12, 2012","1,023.28","1,023.29","1,026.81","1,021.42","-","-0.00%"
"Nov 09, 2012","1,023.29","1,021.67","1,031.59","1,018.18","-","0.16%"
"Nov 08, 2012","1,021.67","1,034.48","1,038.95","1,021.67","-","-1.24%"
"Nov 07, 2012","1,034.49","1,059.28","1,059.28","1,029.83","-","-2.34%"
"Nov 06, 2012","1,059.28","1,051.06","1,062.45","1,051.06","-","0.78%"
"Nov 05, 2012","1,051.06","1,048.35","1,052.83","1,044.30","-","0.26%"
"Nov 02, 2012","1,048.35","1,058.90","1,063.62","1,047.57","-","-1.00%"
"Nov 01, 2012","1,058.90","1,046.46","1,059.22","1,046.46","-","1.19%"
"Oct 31, 2012","1,046.45","1,045.15","1,050.06","1,041.41","-","0.12%"
"Oct 26, 2012","1,045.15","1,046.42","1,049.24","1,038.78","-","-0.12%"
"Oct 25, 2012","1,046.42","1,043.50","1,052.36","1,040.45","-","0.28%"
"Oct 24, 2012","1,043.50","1,046.64","1,051.87","1,042.18","-","-0.30%"
"Oct 23, 2012","1,046.64","1,060.62","1,060.62","1,041.25","-","-1.32%"
"Oct 22, 2012","1,060.61","1,060.64","1,062.11","1,052.47","-","-0.00%"
"Oct 19, 2012","1,060.64","1,078.28","1,078.28","1,057.95","-","-1.64%"
"Oct 18, 2012","1,078.28","1,081.11","1,083.14","1,075.14","-","-0.26%"
"Oct 17, 2012","1,081.11","1,076.17","1,082.04","1,075.13","-","0.46%"
"Oct 16, 2012","1,076.17","1,065.49","1,076.48","1,065.49","-","1.00%"
"Oct 15, 2012","1,065.49","1,057.29","1,066.23","1,055.81","-","0.78%"
"Oct 12, 2012","1,057.29","1,061.14","1,064.83","1,055.34","-","-0.36%"
"Oct 11, 2012","1,061.14","1,060.14","1,069.06","1,060.14","-","0.09%"
"Oct 10, 2012","1,060.14","1,066.36","1,067.17","1,058.55","-","-0.58%"
"Oct 09, 2012","1,066.36","1,077.18","1,077.21","1,066.11","-","-1.00%"
"Oct 08, 2012","1,077.18","1,081.09","1,081.09","1,075.25","-","-0.36%"
"Oct 05, 2012","1,081.09","1,081.53","1,089.03","1,078.26","-","-0.04%"
"Oct 04, 2012","1,081.53","1,073.83","1,082.25","1,073.83","-","0.72%"
"Oct 03, 2012","1,073.83","1,070.45","1,076.64","1,067.48","-","0.32%"
"Oct 02, 2012","1,070.45","1,069.31","1,074.41","1,065.70","-","0.11%"
"Oct 01, 2012","1,069.28","1,066.97","1,078.52","1,066.61","-","0.22%"
"Sep 28, 2012","1,066.97","1,071.79","1,071.79","1,063.04","-","-0.45%"
"Sep 27, 2012","1,071.79","1,061.43","1,073.97","1,061.43","-","0.98%"
"Sep 26, 2012","1,061.43","1,067.61","1,067.61","1,059.06","-","-0.58%"
"Sep 25, 2012","1,067.61","1,079.67","1,084.18","1,067.61","-","-1.12%"
"Sep 24, 2012","1,079.67","1,082.68","1,082.68","1,076.47","-","-0.28%"
"Sep 21, 2012","1,082.68","1,082.23","1,087.95","1,082.23","-","0.04%"
"Sep 20, 2012","1,082.23","1,083.93","1,083.93","1,075.07","-","-0.16%"
"Sep 19, 2012","1,083.93","1,082.57","1,086.75","1,081.57","-","0.13%"
"Sep 18, 2012","1,082.57","1,084.41","1,084.41","1,080.40","-","-0.17%"
"Sep 17, 2012","1,084.41","1,088.93","1,088.95","1,081.89","-","-0.42%"
"Sep 14, 2012","1,088.93","1,083.29","1,094.99","1,083.29","-","0.52%"
"Sep 13, 2012","1,083.29","1,066.80","1,086.27","1,065.57","-","1.55%"
"Sep 12, 2012","1,066.80","1,064.26","1,068.50","1,064.03","-","0.24%"
"Sep 11, 2012","1,064.26","1,061.11","1,067.28","1,061.11","-","0.30%"
"Sep 10, 2012","1,061.11","1,067.33","1,067.94","1,061.03","-","-0.58%"
"Sep 07, 2012","1,067.33","1,062.56","1,067.34","1,062.21","-","0.45%"
"Sep 06, 2012","1,062.56","1,041.48","1,062.56","1,041.48","-","2.02%"
"Sep 05, 2012","1,041.48","1,042.47","1,045.31","1,039.64","-","-0.09%"
"Sep 04, 2012","1,042.47","1,041.80","1,045.21","1,034.57","-","0.06%"
"Aug 31, 2012","1,041.80","1,036.53","1,046.12","1,035.63","-","0.51%"
"Aug 30, 2012","1,036.53","1,044.88","1,044.88","1,034.66","-","-0.80%"
"Aug 29, 2012","1,044.88","1,043.74","1,047.32","1,041.68","-","0.11%"
"Aug 28, 2012","1,043.74","1,043.68","1,046.51","1,040.47","-","0.01%"
"Aug 27, 2012","1,043.68","1,044.16","1,047.90","1,042.65","-","-0.05%"
"Aug 24, 2012","1,044.16","1,038.03","1,045.93","1,034.92","-","0.59%"
"Aug 23, 2012","1,038.03","1,046.11","1,046.11","1,036.71","-","-0.77%"
"Aug 22, 2012","1,046.11","1,046.18","1,047.15","1,041.18","-","-0.01%"
"Aug 21, 2012","1,046.18","1,049.26","1,056.33","1,044.43","-","-0.29%"
"Aug 20, 2012","1,049.26","1,049.88","1,049.88","1,044.84","-","-0.06%"
"Aug 17, 2012","1,049.88","1,047.19","1,050.20","1,046.57","-","0.26%"
"Aug 16, 2012","1,047.19","1,039.39","1,048.48","1,038.10","-","0.75%"
"Aug 15, 2012","1,039.39","1,037.11","1,040.58","1,035.54","-","0.22%"
"Aug 14, 2012","1,037.11","1,037.65","1,042.21","1,034.70","-","-0.05%"
"Aug 13, 2012","1,037.65","1,039.18","1,039.18","1,032.10","-","-0.14%"
"Aug 10, 2012","1,039.07","1,037.23","1,039.17","1,032.05","-","0.18%"
"Aug 09, 2012","1,037.23","1,036.33","1,039.41","1,034.34","-","0.09%"
"Aug 08, 2012","1,036.33","1,035.99","1,037.96","1,032.14","-","0.03%"
"Aug 07, 2012","1,035.99","1,030.09","1,040.42","1,030.09","-","0.57%"
"Aug 06, 2012","1,030.09","1,027.01","1,033.80","1,027.01","-","0.30%"
"Aug 03, 2012","1,027.01","1,007.44","1,029.43","1,007.44","-","1.94%"
"Aug 02, 2012","1,007.44","1,014.49","1,014.49","1,000.28","-","-0.71%"
"Aug 01, 2012","1,014.61","1,019.28","1,023.74","1,014.02","-","-0.46%"
"Jul 31, 2012","1,019.27","1,024.01","1,025.55","1,019.13","-","-0.46%"
"Jul 30, 2012","1,024.01","1,025.16","1,029.20","1,021.23","-","-0.11%"
"Jul 27, 2012","1,025.16","1,005.65","1,027.55","1,005.65","-","1.94%"
"Jul 26, 2012","1,005.65","990.26","1,007.78","990.26","-","1.55%"
"Jul 25, 2012","990.26","990.33","994.94","985.70","-","-0.01%"
"Jul 24, 2012","990.33","1,000.08","1,000.99","984.17","-","-0.97%"
"Jul 23, 2012","1,000.08","1,009.87","1,009.87","990.77","-","-0.97%"
"Jul 20, 2012","1,009.87","1,020.36","1,020.36","1,009.62","-","-1.03%"
"Jul 19, 2012","1,020.36","1,018.08","1,023.37","1,016.60","-","0.22%"
"Jul 18, 2012","1,018.08","1,011.53","1,020.25","1,008.19","-","0.65%"
"Jul 17, 2012","1,011.53","1,004.62","1,012.76","997.89","-","0.69%"
"Jul 16, 2012","1,004.62","1,007.37","1,007.49","1,000.86","-","-0.27%"
"Jul 13, 2012","1,007.36","991.41","1,008.07","991.41","-","1.61%"
"Jul 12, 2012","991.41","996.07","996.07","983.51","-","-0.47%"
"Jul 11, 2012","996.07","996.64","999.31","990.16","-","-0.06%"
"Jul 10, 2012","996.64","1,005.29","1,012.13","992.76","-","-0.86%"
"Jul 09, 2012","1,005.29","1,007.35","1,007.35","1,001.15","-","-0.20%"
"Jul 06, 2012","1,007.35","1,017.28","1,017.28","1,002.54","-","-0.98%"
"Jul 05, 2012","1,017.28","1,021.27","1,021.62","1,013.33","-","-0.39%"
"Jul 03, 2012","1,021.27","1,013.91","1,021.65","1,012.89","-","0.95%"
"Jul 02, 2012","1,011.69","1,010.39","1,011.69","1,003.84","-","0.13%"
"Jun 29, 2012","1,010.35","985.46","1,010.38","985.46","-","2.53%"
"Jun 28, 2012","985.46","987.31","987.31","973.51","-","-0.19%"
"Jun 27, 2012","987.31","978.27","989.08","978.27","-","0.92%"
"Jun 26, 2012","978.27","973.43","981.40","970.71","-","0.50%"
"Jun 25, 2012","973.43","989.47","989.47","970.09","-","-1.62%"
"Jun 22, 2012","989.47","982.12","991.39","982.12","-","0.75%"
"Jun 21, 2012","982.12","1,004.96","1,006.57","981.35","-","-2.27%"
"Jun 20, 2012","1,004.96","1,006.60","1,009.57","998.24","-","-0.16%"
"Jun 19, 2012","1,006.60","996.02","1,010.55","996.02","-","1.06%"
"Jun 18, 2012","996.02","993.91","998.46","987.37","-","0.21%"
"Jun 15, 2012","993.91","983.59","994.25","983.59","-","1.05%"
"Jun 14, 2012","983.59","973.27","986.71","972.51","-","1.06%"
"Jun 13, 2012","973.26","981.04","983.32","970.10","-","-0.79%"
"Jun 12, 2012","981.04","969.74","981.20","967.82","-","1.16%"
"Jun 11, 2012","969.75","983.54","990.97","968.92","-","-1.40%"
"Jun 08, 2012","983.54","975.39","983.78","969.57","-","0.84%"
"Jun 07, 2012","975.39","976.57","987.33","973.89","-","-0.12%"
"Jun 06, 2012","976.57","954.50","976.57","954.50","-","2.31%"
"Jun 05, 2012","954.49","947.86","955.84","944.84","-","0.70%"
"Jun 04, 2012","947.86","948.57","952.19","939.10","-","-0.07%"
"Jun 01, 2012","948.53","973.52","973.52","947.96","-","-2.57%"
"May 31, 2012","973.52","975.76","980.06","964.32","-","-0.23%"
"May 30, 2012","975.76","990.89","990.89","973.90","-","-1.53%"
"May 29, 2012","990.89","979.68","992.70","979.68","-","1.14%"
"May 25, 2012","979.68","981.44","983.79","976.96","-","-0.18%"
