"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 22, 2014","322.79","321.43","322.56","321.36","-","0.45%"
"Dec 19, 2014","321.35","319.69","321.73","319.69","-","0.66%"
"Dec 18, 2014","319.23","312.87","319.35","312.87","-","1.93%"
"Dec 17, 2014","313.20","310.31","313.57","308.95","-","1.00%"
"Dec 16, 2014","310.09","310.33","313.49","308.91","-","-0.13%"
"Dec 15, 2014","310.50","314.03","314.60","310.23","-","-1.24%"
"Dec 12, 2014","314.39","318.59","319.01","314.28","-","-1.28%"
"Dec 11, 2014","318.46","319.10","320.34","317.63","-","-0.11%"
"Dec 10, 2014","318.81","322.36","322.50","318.91","-","-1.28%"
"Dec 09, 2014","322.94","323.90","323.90","320.63","-","-0.31%"
"Dec 08, 2014","323.94","326.24","326.28","323.76","-","-0.70%"
"Dec 05, 2014","326.23","325.70","326.59","325.45","-","0.08%"
"Dec 04, 2014","325.98","326.49","326.98","325.17","-","-0.13%"
"Dec 03, 2014","326.41","325.67","326.42","325.22","-","0.24%"
"Dec 02, 2014","325.62","324.64","325.62","324.58","-","0.30%"
"Dec 01, 2014","324.66","326.53","326.66","324.26","-","-0.72%"
"Nov 28, 2014","327.03","328.04","328.23","326.60","-","-0.37%"
"Nov 27, 2014","328.23","328.63","328.80","328.06","-","-0.17%"
"Nov 26, 2014","328.79","327.92","328.79","327.80","-","0.28%"
"Nov 25, 2014","327.88","327.56","328.48","327.34","-","0.13%"
"Nov 24, 2014","327.46","326.62","327.66","326.62","-","0.24%"
"Nov 21, 2014","326.69","324.30","327.37","324.21","-","0.73%"
"Nov 20, 2014","324.31","324.01","324.41","322.93","-","0.07%"
"Nov 19, 2014","324.09","324.77","324.82","323.11","-","-0.21%"
"Nov 18, 2014","324.78","322.63","325.10","322.62","-","0.72%"
"Nov 17, 2014","322.45","323.14","323.32","321.81","-","-0.21%"
"Nov 14, 2014","323.14","323.02","323.51","322.16","-","0.04%"
"Nov 13, 2014","323.02","322.60","323.94","322.27","-","-0.01%"
"Nov 12, 2014","323.05","323.65","323.79","322.19","-","-0.04%"
"Nov 11, 2014","323.17","322.77","323.66","322.47","-","0.06%"
"Nov 10, 2014","322.98","321.64","322.98","321.64","-","0.51%"
"Nov 07, 2014","321.33","321.15","321.98","320.68","-","-0.06%"
"Nov 06, 2014","321.51","321.53","321.69","319.98","-","-0.03%"
"Nov 05, 2014","321.61","320.54","321.61","319.86","-","0.29%"
"Nov 04, 2014","320.69","320.94","322.06","319.59","-","-0.06%"
"Nov 03, 2014","320.87","322.08","322.17","320.58","-","-0.51%"
"Oct 31, 2014","322.51","318.89","322.51","318.89","-","1.07%"
"Oct 30, 2014","319.08","317.46","319.33","316.56","-","0.16%"
"Oct 29, 2014","318.58","317.79","319.68","316.39","-","0.24%"
"Oct 28, 2014","317.82","314.19","317.82","314.14","-","1.12%"
"Oct 27, 2014","314.29","314.73","315.68","312.77","-","-0.13%"
"Oct 24, 2014","314.71","313.39","314.77","313.03","-","0.42%"
"Oct 23, 2014","313.38","311.28","314.22","310.16","-","0.61%"
"Oct 22, 2014","311.47","311.61","313.49","311.28","-","-0.13%"
"Oct 21, 2014","311.86","307.74","311.86","307.22","-","1.37%"
"Oct 20, 2014","307.64","304.97","307.88","304.97","-","0.80%"
"Oct 17, 2014","305.19","301.84","306.21","301.28","-","1.15%"
"Oct 16, 2014","301.71","302.82","303.15","298.03","-","-0.24%"
