5.2465,4.5655,4.519,3.7579,4.0515,4.0298,,,5.25%,4.57%,4.52%,3.76%,4.05%,4.03%
1.0006,0.8284,1.2431,1.3662,1.3738,1.3179,,,1.00%,0.83%,1.24%,1.37%,1.37%,1.32%
6.8952,6.3319,5.7772,4.4785,6.0922,7.4908,,,6.90%,6.33%,5.78%,4.48%,6.09%,7.49%
2.6429,3.5247,4.4718,-0.1908,1.2364,5.0322,,,2.64%,3.52%,4.47%,-0.19%,1.24%,5.03%
1.0432,1.0422,0.8323,1.1265,0.2981,-0.325,,,1.04%,1.04%,0.83%,1.13%,0.30%,-0.33%
-4.0502,-1.3611,-0.8917,-2.4804,-1.8025,1.4887,,,-4.05%,-1.36%,-0.89%,-2.48%,-1.80%,1.49%
3.3367,3.5249,4.1452,1.9059,3.2069,4.266,,,3.34%,3.52%,4.15%,1.91%,3.21%,4.27%
3.3288,3.1605,3.734,2.371,1.8575,4.5645,,,3.33%,3.16%,3.73%,2.37%,1.86%,4.56%
-3.248,-0.9182,-1.7278,1.2861,1.4543,-0.4669,,,-3.25%,-0.92%,-1.73%,1.29%,1.45%,-0.47%
5.7122,4.192,4.7212,2.9386,4.667,5.1039,,,5.71%,4.19%,4.72%,2.94%,4.67%,5.10%
-6.5456,-6.3139,-6.2258,-5.4778,-5.9581,-7.9206,,,-6.55%,-6.31%,-6.23%,-5.48%,-5.96%,-7.92%
-1.4485,-2.0547,-0.9032,-0.4684,-0.1479,-2.5549,,,-1.45%,-2.05%,-0.90%,-0.47%,-0.15%,-2.55%
2.4247,2.8321,3.037,3.7055,1.239,5.3324,,,2.42%,2.83%,3.04%,3.71%,1.24%,5.33%
3.4318,2.3807,2.924,4.6269,3.6861,5.9894,,,3.43%,2.38%,2.92%,4.63%,3.69%,5.99%
8.2653,6.8025,5.9274,5.4952,3.3547,5.9612,,,8.27%,6.80%,5.93%,5.50%,3.35%,5.96%
-0.5599,0.7938,1.1427,-0.1269,1.9074,1.3848,,,-0.56%,0.79%,1.14%,-0.13%,1.91%,1.38%
-1.8437,-0.2502,-0.1946,-0.0591,0.9006,-2.6343,,,-1.84%,-0.25%,-0.19%,-0.06%,0.90%,-2.63%
15.6739,15.5346,13.167,9.8277,12.0613,12.5763,,,15.67%,15.53%,13.17%,9.83%,12.06%,12.58%
